,name,temp,temp_min,temp_max,lon,lat,speed,humidity,clouds
0,Villa del Rosario,300.15,300.15,300.15,-63.53,-31.55,9.3,69,75
1,Laguna,299.15,299.15,299.15,-88.94,16.17,2.1,78,40
2,Provideniya,249.33,249.33,249.33,-173.23,64.42,2.77,83,0
3,Port Keats,301.88,301.88,301.88,129.55,-14.25,3.99,84,90
4,Rikitea,297.75,297.75,297.75,-134.97,-23.12,5.75,81,88
5,Kapaa,295.52,294.15,297.15,-159.32,22.08,9.8,88,90
6,Riyadh,291.15,291.15,291.15,46.72,24.63,2.1,36,0
7,Port Alfred,292.59,292.59,292.59,26.89,-33.59,2.68,81,57
8,Mataura,280.93,280.93,280.93,168.86,-46.19,1.34,88,58
9,Thompson,257.15,257.15,257.15,-97.86,55.74,2.1,77,75
10,Jamestown,297.73,297.73,297.73,138.6,-33.21,2.61,40,0
11,Hasaki,272.29,270.93,274.15,140.83,35.73,1.0,80,75
12,Hovd,276.39,273.71,279.26,10.7,63.83,3.1,60,75
13,Busselton,287.03,286.48,287.59,115.35,-33.64,0.88,61,3
14,Katsuura,277.15,277.15,277.15,134.5,33.93,3.1,80,20
15,Hilo,294.71,292.59,297.15,-155.08,19.71,2.6,83,90
16,Tiksi,241.43,241.43,241.43,128.87,71.64,3.6,87,100
17,Vaini,293.26,293.26,293.26,74.49,15.34,2.46,82,74
18,Basco,280.65,279.15,282.04,-91.2,40.33,5.1,100,90
19,Mar del Plata,295.1,295.1,295.1,-67.52,-46.43,6.82,27,0
20,Hobart,285.14,282.59,286.48,147.33,-42.88,2.46,87,75
21,Marsa Matruh,289.79,289.79,289.79,27.25,31.35,8.56,63,4
22,Cedar City,268.51,268.15,269.15,-113.06,37.68,7.2,73,90
23,Bluff,294.43,294.43,294.43,149.07,-23.58,6.33,83,99
24,Northam,291.28,290.15,292.04,116.67,-31.65,1.5,82,90
25,Cabo San Lucas,291.15,289.82,292.59,-109.91,22.89,5.7,55,75
26,Castro,291.15,291.15,291.15,-73.76,-42.48,3.1,59,40
