,name,temp,temp_min,temp_max,lon,lat,speed,humidity,clouds,this_date
0,Imbituba,301.15,301.15,301.15,-48.67,-28.24,6.7,69,63,2019-12-30
1,Bluff,295.1,295.1,295.1,149.07,-23.58,4.78,76,70,2019-12-30
2,Port Alfred,296.48,296.48,296.48,26.89,-33.59,0.89,81,22,2019-12-30
3,Ushuaia,286.04,285.15,287.15,-68.31,-54.81,5.1,33,20,2019-12-30
4,Vaini,297.15,297.15,297.15,74.49,15.34,4.1,69,40,2019-12-30
5,Sona,300.66,300.66,300.66,-81.32,8.01,1.54,73,100,2019-12-30
6,Lavrentiya,246.03,246.03,246.03,-170.99,65.58,6.42,82,0,2019-12-30
7,Arman,263.78,263.78,263.78,150.17,59.7,4.74,73,100,2019-12-30
8,Esperance,288.15,288.15,288.15,121.89,-33.86,2.1,67,0,2019-12-30
9,Hermanus,296.43,294.26,298.15,19.24,-34.42,4.47,72,100,2019-12-30
10,Qaanaaq,241.72,241.72,241.72,-69.36,77.48,2.64,90,52,2019-12-30
11,Busselton,287.26,287.26,287.26,115.35,-33.64,4.85,73,0,2019-12-30
12,Suntar,250.81,250.81,250.81,117.65,62.16,2.66,95,100,2019-12-30
13,Vila Velha,301.25,300.15,303.15,-38.6,-3.71,5.7,83,75,2019-12-30
14,Rikitea,297.85,297.85,297.85,-134.97,-23.12,5.19,83,4,2019-12-30
15,Barrow,293.9,293.9,293.9,-60.23,-38.31,2.76,89,100,2019-12-30
16,Kaitangata,285.37,285.37,285.37,169.85,-46.28,0.89,82,22,2019-12-30
17,Thompson,258.15,258.15,258.15,-97.86,55.74,1.68,84,75,2019-12-30
18,Lagoa,290.25,288.15,292.59,-8.45,37.14,3.6,67,0,2019-12-30
19,Gat,305.15,305.15,305.15,-16.54,14.69,6.2,29,0,2019-12-30
20,Punta Arenas,287.11,287.04,287.15,-70.91,-53.16,9.8,44,40,2019-12-30
21,Marzuq,295.56,295.56,295.56,46.47,14.4,4.83,54,35,2019-12-30
22,Cape Town,296.12,294.82,298.15,18.42,-33.93,14.4,60,20,2019-12-30
23,Sao Felix do Xingu,302.47,302.47,302.47,-51.99,-6.64,1.91,63,100,2019-12-30
24,Sitka,270.37,270.37,270.37,-99.65,37.17,4.92,68,0,2019-12-30
25,Port Elizabeth,285.87,279.82,292.04,-74.98,39.31,1.5,93,90,2019-12-30
26,Semporna,298.15,298.15,298.15,118.61,4.48,1.52,100,75,2019-12-30
27,Buluang,300.15,300.15,300.15,123.98,10.47,5.1,78,90,2019-12-30
28,Atuona,299.78,299.78,299.78,-139.03,-9.8,5.45,76,13,2019-12-30
29,Santa Cruz de la Palma,296.33,296.15,296.48,-17.76,28.68,3.1,64,96,2019-12-30
30,Cidreira,297.15,297.15,297.15,-50.22,-30.17,5.07,84,42,2019-12-30
31,Georgetown,300.61,300.15,301.15,-58.16,6.8,4.1,78,40,2019-12-30
32,Nanortalik,269.68,269.68,269.68,-45.24,60.14,8.14,70,0,2019-12-30
33,Huarmey,300.09,300.09,300.09,-78.15,-10.07,3.31,51,0,2019-12-30
34,Puerto Ayora,296.26,295.37,297.15,-90.35,-0.74,1.5,83,90,2019-12-30
35,Chabahar,295.14,295.14,295.14,60.65,25.29,3.66,55,4,2019-12-30
36,Komsomolskiy,260.03,260.03,260.03,63.78,67.55,9.01,92,100,2019-12-30
37,Alyangula,300.15,300.15,300.15,136.42,-13.85,3.18,88,39,2019-12-30
38,Wajima,287.13,287.13,287.13,136.9,37.4,10.66,82,82,2019-12-30
39,San Patricio,311.27,311.27,311.27,-56.83,-26.98,2.46,30,32,2019-12-30
40,Saskylakh,237.59,237.59,237.59,114.09,71.97,3.92,85,0,2019-12-30
41,Hobart,288.59,287.59,289.26,147.33,-42.88,3.1,82,90,2019-12-30
42,New Norfolk,288.59,287.59,289.26,147.06,-42.78,3.1,82,90,2019-12-30
43,Cherskiy,236.71,236.71,236.71,161.3,68.75,1.98,95,20,2019-12-30
44,Kapaa,295.34,294.15,297.15,-159.32,22.08,6.2,78,20,2019-12-30
45,Pisco,294.65,294.26,295.15,-76.2,-13.71,1.5,30,90,2019-12-30
46,Kota Belud,300.82,300.37,301.15,116.43,6.35,2.6,83,75,2019-12-30
47,Kruisfontein,290.4,290.4,290.4,24.73,-34.0,4.1,88,100,2019-12-30
48,San Cristobal,295.08,295.08,295.08,-86.92,14.68,2.08,76,100,2019-12-30
49,Dikson,262.36,262.36,262.36,80.55,73.51,12.59,91,100,2019-12-30
50,Hilo,290.17,283.15,293.15,-155.08,19.71,2.64,88,20,2019-12-30
51,Wangqing,250.33,250.33,250.33,129.76,43.31,2.89,93,99,2019-12-30
52,Bredasdorp,294.62,294.26,295.15,20.04,-34.53,5.1,53,100,2019-12-30
53,Mataura,284.82,284.82,284.82,168.86,-46.19,0.89,92,91,2019-12-30
54,Bilibino,236.25,236.25,236.25,166.44,68.06,0.55,99,62,2019-12-30
55,Port Hedland,304.15,304.15,304.15,118.58,-20.31,5.7,74,75,2019-12-30
56,Jamestown,288.74,288.74,288.74,138.6,-33.21,6.77,75,23,2019-12-30
57,Turan,248.78,248.78,248.78,93.92,52.15,1.67,76,84,2019-12-30
58,Sur,294.96,294.96,294.96,59.53,22.57,2.68,68,32,2019-12-30
59,Rokytne,272.24,272.24,272.24,27.23,51.27,6.58,77,100,2019-12-30
60,Itoman,293.63,293.15,294.15,127.67,26.12,2.6,88,90,2019-12-30
61,Saint-Pierre,278.91,277.04,281.15,4.24,48.95,1.0,80,0,2019-12-30
62,Ternate,300.23,299.82,301.15,120.72,14.29,1.5,69,20,2019-12-30
63,Tasiilaq,269.15,269.15,269.15,-37.64,65.61,2.12,62,100,2019-12-30
64,Diffa,300.38,300.38,300.38,12.61,13.32,4.62,11,99,2019-12-30
65,Siguiri,308.59,308.59,308.59,-9.17,11.42,2.46,8,7,2019-12-30
66,Hithadhoo,301.05,301.05,301.05,73.08,-0.6,4.41,76,27,2019-12-30
67,Mar del Plata,296.33,296.33,296.33,-67.52,-46.43,4.27,29,0,2019-12-30
68,La Ronge,266.15,266.15,266.15,-105.3,55.1,2.6,92,90,2019-12-30
69,Kungurtug,251.87,251.87,251.87,97.53,50.6,1.48,63,0,2019-12-30
70,Katobu,298.17,298.17,298.17,122.53,-4.94,1.02,90,100,2019-12-30
71,Charters Towers,296.21,296.21,296.21,146.27,-20.07,5.43,83,0,2019-12-30
72,Tibati,308.45,308.45,308.45,12.63,6.47,1.14,13,3,2019-12-30
73,Mugumu,295.42,295.42,295.42,34.67,-1.84,1.5,85,100,2019-12-30
74,Kahului,293.27,292.15,295.37,-156.47,20.89,2.1,72,1,2019-12-30
75,Wang Saphung,298.15,298.15,298.15,101.77,17.3,0.94,51,7,2019-12-30
76,Petropavlovsk-Kamchatskiy,259.15,259.15,259.15,158.65,53.05,5.0,71,96,2019-12-30
77,Hasaki,277.69,277.04,279.15,140.83,35.73,1.0,93,75,2019-12-30
78,Tsumeb,295.18,295.18,295.18,17.72,-19.25,1.23,77,100,2019-12-30
79,Yellowknife,249.22,249.15,249.26,-114.38,62.45,5.7,76,75,2019-12-30
80,Libenge,310.57,310.57,310.57,18.64,3.65,2.07,11,6,2019-12-30
81,Wick,282.34,280.37,284.26,-2.43,51.45,2.1,81,20,2019-12-30
82,Paamiut,265.68,265.68,265.68,-49.67,61.99,3.59,48,0,2019-12-30
83,Port Blair,300.64,300.64,300.64,92.75,11.67,7.21,78,55,2019-12-30
84,Cabo San Lucas,284.51,282.04,288.71,-109.91,22.89,3.6,87,5,2019-12-30
85,Severo-Kurilsk,269.55,269.55,269.55,156.12,50.68,4.32,86,99,2019-12-30
86,San Juan,306.74,306.74,306.74,-68.53,-31.54,2.64,29,0,2019-12-30
87,Torbay,273.44,272.59,274.26,-52.73,47.66,9.8,90,90,2019-12-30
88,Saa,308.09,308.09,308.09,10.08,7.32,2.87,11,48,2019-12-30
89,Saldanha,285.73,285.73,285.73,-6.55,41.42,0.66,46,0,2019-12-30
90,Yerbogachen,243.71,243.71,243.71,108.01,61.28,3.33,97,32,2019-12-30
91,Kavieng,302.14,302.14,302.14,150.8,-2.57,4.36,72,0,2019-12-30
92,Bagepalli,297.15,297.15,297.15,77.8,13.78,3.6,53,40,2019-12-30
93,Alta Floresta,300.93,300.93,300.93,-56.08,-9.87,2.24,72,100,2019-12-30
